Name,Province,Fuel,Capacity,Status,Units Included
Mong Duong 2,Quảng Ninh,Coal,1240.0,5 operating,"Mong Duong 2 Unit 1, Mong Duong 2 Unit 2"
Na Dương 1,Lang Son,Coal,110.0,5 operating,"Na Dương 1 Unit 1, Na Dương 1 Unit 2"
Na Dương 2,Lang Son,Coal,110.0,5 operating,Na Dương 2
Nam Dinh 1,Nam Dinh,Coal,1200.0,3 permitted,"Nam Dinh 1 Unit 1, Nam Dinh 1 Unit 2"
Nghi Son 1,Thanh Hóa,Coal,600.0,5 operating,"Nghi Son 1 Unit 1, Nghi Son 1 Unit 2"
Nghi Son 2,Thanh Hóa,Coal,1200.0,5 operating,"Nghi Son 2 Unit 1, Nghi Son 2 Unit 2"
Ninh Binh,Ninh Binh,Coal,100.0,10 retired,"Ninh Binh Unit 1, Ninh Binh Unit 2, Ninh Binh Unit 3, Ninh Binh Unit 4"
Ninh Thuan Novatek project,Ninh Thuan,Gas,4500.0,1 announced,Ninh Thuan Novatek project
Nong Son 1,Quảng Nam,Coal,30.0,5 operating,Nong Son 1
NĐ Cần Thơ,Cần Thơ,Gas/Oil,165.0,5 operating,NĐ Cần Thơ
NĐ Hiệp Phước,TP HCM,Gas/Oil,310.0,5 operating,NĐ Hiệp Phước
NĐ LNG miền Bắc,"Thái Bình, Nam Định, Nghi Sơn, Thanh Hóa",Gas,0.0,0 exploring,NĐ LNG miền Bắc
NĐ Thủ Đức,TP HCM,Gas,290.0,5 operating,NĐ Thủ Đức
NĐ Ô Môn I,Cần Thơ,Gas/Oil,660.0,5 operating,"NĐ Ô Môn I Unit 1, NĐ Ô Môn I Unit 2"
Phả Lại 1,Hai Duong,Coal,440.0,5 operating,"Phả Lại 1 Unit 1, Phả Lại 1 Unit 2, Phả Lại 1 Unit 3, Phả Lại 1 Unit 4"
Phả Lại 2,Hai Duong,Coal,600.0,5 operating,"Phả Lại 2 Unit 1, Phả Lại 2 Unit 2"
Phả Lại 3,Hai Duong,Coal,660.0,9 cancelled,Phả Lại 3
Quang Ninh 1,Quảng Ninh,Coal,600.0,5 operating,"Quang Ninh 1 Unit 1, Quang Ninh 1 Unit 2"
Quang Ninh 2,Quảng Ninh,Coal,600.0,5 operating,"Quang Ninh 2 Unit 1, Quang Ninh 2 Unit 2"
Quang Ninh 3,Quảng Ninh,Coal,1200.0,1 announced,"Quang Ninh 3 Unit 1, Quang Ninh 3 Unit 2"
Quảng Trạch 1,Quảng Bình,Coal,1400.0,4 Construction,"Quảng Trạch 1 Unit 1, Quảng Trạch 1 Unit 2"
Quảng Trạch 2,Quảng Bình,Coal,1200.0,9 cancelled,"Quảng Trạch 2 Unit 1, Quảng Trạch 2 Unit 2"
Quảng Trị 1,Quảng Trị,Coal,1320.0,9 cancelled,"Quảng Trị 1 Unit 2, Quảng Trị 1 Unit 2"
Quảng Trị 2,Quảng Trị,Coal,1200.0,3 permitted,"Quảng Trị 2 Unit 1, Quảng Trị 2 Unit 2"
Quảng Trị – Huế area,Quảng Trị,Gas,4000.0,0 exploring,Quảng Trị – Huế area
Quỳnh Lập 1,Nghệ An,Coal,1200.0,9 cancelled,"Quỳnh Lập 1 Unit 1, Quỳnh Lập 1 Unit 2"
Quỳnh Lập 2,Nghệ An,Coal,1200.0,9 cancelled,"Quỳnh Lập 2 Unit 1, Quỳnh Lập 2 Unit 2"
Son Dong,Bac Giang,Coal,220.0,5 operating,"Son Dong Unit 1, Son Dong Unit 2"
Sông Hậu 1,Hau Giang,Coal,1200.0,5 operating,"Sông Hậu 1 Unit 1, Sông Hậu 1 Unit 2"
Sông Hậu 2,Hau Giang,Coal,2000.0,3 permitted,"Sông Hậu 2 Unit 1, Sông Hậu 2 Unit 2"
TBKHH Bà Rịa 1,Bà Rịa-Vũng Tàu,Gas,169.0,5 operating,TBKHH Bà Rịa 1
TBKHH Bà Rịa 2,Bà Rịa-Vũng Tàu,Gas,175.0,5 operating,TBKHH Bà Rịa 2
TBKHH Dung Quất I,Quảng Ngãi,Gas,750.0,3 added to PDP,TBKHH Dung Quất I
TBKHH Dung Quất II,Quảng Ngãi,Gas,750.0,3 added to PDP,TBKHH Dung Quất II
